Year,Service,Category,Count,Percentage
2018,NordVPN,Legal Threat,0,0.00%
2018,NordVPN,Account Action,0,0.00%
2018,NordVPN,Privacy/Security,0,0.00%
2018,NordVPN,Security Risk,0,0.00%
2018,NordVPN,Legitimate Portability,0,0.00%
2018,NordVPN,User Workaround,0,0.00%
2018,NordVPN,General Terms,0,0.00%
2019,Microsoft,Technical Blocking,0,0.00%
2019,Microsoft,Price Discrimination,0,0.00%
2019,Microsoft,Content Licensing,2,1.20%
2019,Microsoft,Regulatory Compliance,0,0.00%
2019,Microsoft,Legal Threat,8,4.79%
2019,Microsoft,Account Action,0,0.00%
2019,Microsoft,Privacy/Security,0,0.00%
2019,Microsoft,Security Risk,0,0.00%
2019,Microsoft,Legitimate Portability,0,0.00%
2019,Microsoft,User Workaround,0,0.00%
2019,Microsoft,General Terms,157,94.01%
2019,Youtube Premium,Technical Blocking,0,0.00%
2019,Youtube Premium,Price Discrimination,0,0.00%
2019,Youtube Premium,Content Licensing,0,0.00%
2019,Youtube Premium,Regulatory Compliance,0,0.00%
2019,Youtube Premium,Legal Threat,0,0.00%
2019,Youtube Premium,Account Action,0,0.00%
2019,Youtube Premium,Privacy/Security,0,0.00%
2019,Youtube Premium,Security Risk,0,0.00%
2019,Youtube Premium,Legitimate Portability,0,0.00%
2019,Youtube Premium,User Workaround,0,0.00%
2019,Youtube Premium,General Terms,44,100.00%
2019,Spotify,Technical Blocking,1,0.25%
2019,Spotify,Price Discrimination,2,0.49%
2019,Spotify,Content Licensing,35,8.64%
2019,Spotify,Regulatory Compliance,14,3.46%
2019,Spotify,Legal Threat,0,0.00%
2019,Spotify,Account Action,0,0.00%
2019,Spotify,Privacy/Security,0,0.00%
2019,Spotify,Security Risk,0,0.00%
2019,Spotify,Legitimate Portability,0,0.00%
2019,Spotify,User Workaround,1,0.25%
2019,Spotify,General Terms,352,86.91%
2019,Adobe,Technical Blocking,0,0.00%
2019,Adobe,Price Discrimination,1,4.76%
2019,Adobe,Content Licensing,1,4.76%
2019,Adobe,Regulatory Compliance,1,4.76%
2019,Adobe,Legal Threat,0,0.00%
2019,Adobe,Account Action,0,0.00%
2019,Adobe,Privacy/Security,0,0.00%
2019,Adobe,Security Risk,0,0.00%
2019,Adobe,Legitimate Portability,0,0.00%
2019,Adobe,User Workaround,0,0.00%
2019,Adobe,General Terms,18,85.71%
2019,Netflix,Technical Blocking,0,0.00%
2019,Netflix,Price Discrimination,0,0.00%
2019,Netflix,Content Licensing,0,0.00%
2019,Netflix,Regulatory Compliance,0,0.00%
2019,Netflix,Legal Threat,0,0.00%
2019,Netflix,Account Action,0,0.00%
2019,Netflix,Privacy/Security,0,0.00%
2019,Netflix,Security Risk,0,0.00%
2019,Netflix,Legitimate Portability,0,0.00%
2019,Netflix,User Workaround,0,0.00%
2019,Netflix,General Terms,0,0.00%
2019,Disney+,Technical Blocking,0,0.00%
2019,Disney+,Price Discrimination,0,0.00%
2019,Disney+,Content Licensing,0,0.00%
2019,Disney+,Regulatory Compliance,0,0.00%
2019,Disney+,Legal Threat,0,0.00%
2019,Disney+,Account Action,0,0.00%
